СИМОН;SIMON
АХМЕТЕЛАШВИЛИ;AKHMETELASHVILI
МИРЗА;MIRZA
АХУНДОВ;AKHUNDOV
ГЕРЦЕЛЬ;GERZEL
БААЗОВ;BAAZOV
НИСАН;NISAN
БАБАЛИКАШВИЛИ;BABALIKASHVILI
СПАРТАК;SPARTAK
БАГАШВИЛИ;BAGASHVILI
ГЕОРГИЙ;JORGE
БАГРАТИОН;BAGRATION
РОМАН;ROMAN
БАЖБЕУК-МЕЛИКОВ;BAZHBEUK-MELIKYAN
ФРИДРИХ;FRIEDRICH
БАЙЕРН;BAYERN
АБДУЛЛА-АГА;ABDULLA
БАКИХАНОВ;BAKIXANOV
ВАЛЕРИАН;VALERIAN
БАКРАДЗЕ;BAKRADZE
ДАВИД;DAWID
ДМИТРИЙ;DIMITRI
ИОСИФ;IOSEB
ВАХТАНГ;VAKHTANG
БАЛАВАДЗЕ;BALAVADZE
АНДРЕЙ;ANDRIA
БАЛАНЧИВАДЗЕ;BALANCHIVADZE
АЛЕКСАНДР;ALEK`SANDRE
БАРАМИДЗЕ;BARAMIZE
ИВАН;IVAN
БАРАНЧЕЕВ;BARANCHEYEV
БАРДЗИМАШВИЛИ;BARDZIMASHVILI
БАРНОВ;BARNOVI
КОНСТАНТИН;KONSTANTIN
БАРОНОВ;BARONOV
БАРТОЛОМЕЙ;BARTOLOMEY
СЕРГЕЙ;SARGIS
БАРХУДАРЯН;BARKHUDARYAN
ГЕВОРК;GEVORG
БАШИНДЖАГЯН;BASHINJAGHIAN
ВАСИЛИЙ;VASILI
БЕБУТОВ;BEBUTOV
АЛЕКСЕЙ;ALEKSEY
БЕЛЁВСКИЙ-ЖУКОВСКИЙ;BELEVSKY-ZHUKOVSKY
АКАКИЙ;AKAKI
БЕЛИАШВИЛИ;BELIASHVILI
БЕЛЛА;BELA
МИРИАНАШВИЛИ;MIRIANASHVILI
ТАМАРА;TAMARA
ШОТАДЗЕ;SHOTADZE
БЕРДЗЕНИШВИЛИ;BERDZENISHVILI
НИКОЛАЙ;NIKOLOZ
ВИКТОР;VIKTOR
БЕРЕЖНОЙ;BEREZHNOY
АДОЛЬФ;ADOLF
БЕРЖЕ;BERGE
ЗАРБЕГ;ZARBEG
БЕРИАШВИЛИ;BERIASHVILI
БЕРИДЗЕ;BERIDZE
БЕРИКАШВИЛИ;BERIKASHVILI
БЕРИТАШВИЛИ;BERITASHVILI
АРТЁМ;ARTEM
БЕРОЯН;BEROYAN
МАРИЯ;MARIA
НИКО;NIKOLOZ
БЕРУАШВИЛИ;BERUCHASHVILI
БИЛИБИН;BILIBIN
ПЁТР;PYOTR
БЛЕТКИН;BLETKIN
БОГОМИР;BOGOMIR
КОРСОВ;KORSOV
МАРИЯ;MARIYA
БОРОЗДИНА;BOROZDINA
БАЧАНА;BACHANA
БРЕГВАДЗЕ;BREGVADZE
БУКИЯ;BUKIA
НАТАЛЬЯ;NATALYA
БУРМИСТРОВА;BURMISTROVA
БУРЧАК-АБРАМОВИЧ;BURCHAK-ABRAMOVICH
ГРИГОРИЙ;GRIGOL
БУХНИКАШВИЛИ;BUKHNIKASHVILI
АВТАНДИЛ;AVTO
ВАРАЗИ;VARAZI
ВАСАДЗЕ;VASADZE
ИЛЬЯ;ILIA
ВЕКУА;VEKUA
НИКОЛАЙ;NIKOLAI
ВЕПХВАДЗЕ;VEPKHVADZE
АНАСТАСИЯ;ANASTASIA
ВИРСАЛАДЗЕ;VIRSALADZE
ТИНАТИН;TINATIN
ВАЛЕНТИНА;VALENTINA
ВОИНОВА;VOINOVA
ВАСИЛИЙ;VASILY
ГАБАЕВ;GABASHVILI
РЕВАЗ;REVAZ
ГАБИЧВАДЗЕ;GABICHVADZE
РЕЗО;REVAZ
ГАБРИАДЗЕ;GABRIADZE
ГУРАНДА;GURANDA
ГАБУНИЯ;GABUNIA
ЛЕОНИД;LEONIDE
НАТО;NATO
МАМЕД-ГАСАН;MAMMAD
ГАДЖИНСКИЙ;HAJINSKI
АССИР;ASSIR
ГАЛЬПЕРИН;GALPERIN
ЖАК;JEAN
ГАМБА;GAMBA
ГАМБАШИДЗЕ;GAMBASHIDZE
ГАМРЕКЕЛИ;GAMREKELI
КАТЕГОРИЯ:УМЕРШИЕ;CATEGORY:DEATHS
ТБИЛИСИ;TBILISI
КОНСТАНТИН;KONSTANTINE
ГАМСАХУРДИЯ;GAMSAKHURDIA
ГАПРИНДАШВИЛИ;GAPRINDASHVILI
МАРИАМ;MARIAM
ГАРИКУЛИ;GARIKULI
ГВАНЦЕЛАДЗЕ;GVANTSELADZE
ГВАХАРИЯ;GVAKHARIYA
РАЖДЕН;RAZHDEN
ГВЕТАДЗЕ;GVETADZE
ГВИШИАНИ;GVESHIANI
АЛЕКСЕЙ;SASHA
ГЕГЕЧКОРИ;GEGECHKORI
ГЕОРГИЙ;GOGI
ГЕХТМАН;GECHTMAN
АНТОН;ANTON
ГИЗЕТТИ;GIZETTI
ПАВЕЛ;PAWLE
ГИЛАШВИЛИ;GILASZWILI
РАМАЗ;RAMAZ
ГИОРГОБИАНИ;GIORGOBIANI
ДЖАМШИД;JAMSHID
ГИУНАШВИЛИ;GIUNASHVILI
ФЕЛИКС;FELIX
ГЛОНТИ;GLONTI
ЯКОВ;IAKOB
ГОГЕБАШВИЛИ;GOGEBASHVILI
ФИЛИПП;FILIPE
ГОГИЧАИШВИЛИ;GOGICHAISHVILI
ВИКТОР;VICTOR
ГОГЛИДЗЕ;GOGLIDZE
АВТАНДИЛ;AVTANDIL
ГОГОБЕРИДЗЕ;GOGOBERIDZE
ВАСИЛИЙ;WASIL
ГОГУА;GOGUA
ГОДЗИАШВИЛИ;GODZIASHVILI
ДЖЕМАЛ;JEMAL
ГОКИЕЛИ;GOKIELI
ИВАН;IVANE
ЛЕВАН;LEVAN
ГОКИЕЛИ;GOKIELIE
ТАТЬЯНА;TATYANA
ГОЛЬДФАРБ;GOLDFARB
АЛЕКСЕЙ;ALEXEY
ГОРГИДЗЕ;GORGIDZE
ШОТА;SHOTA
ГОРГОДЗЕ;GORGODZE
ГОЦИРИДЗЕ;GOTSIRIDZE
ТЕРЕНТИЙ;TERENTI
ГРАНЕЛИ;GRANELI
ГЕНРИК;HENRYK
ГРИНЕВСКИЙ;HRYNIEWSKI
ГРИШАШВИЛИ;GRISHASHVILI
ПЁТР;PETRE
ГРУЗИНСКИЙ;GRUZINSKY
ПААТА;PAATA
ГУГУШВИЛИ;GUGUSHVILI
ГУДИАШВИЛИ;GUDIASHVILI
ЗАФАР;ZAFER
ГУЛИЕВ;QULIYEV
ВАЛИКО;VALERIAN
ГУНИА;GUNIA
БУХУТИ;BUKHUTI
ГУРГЕНИДЗЕ;GURGENIDZE
ДАВИТАШВИЛИ;DAVITASHVILI
КОБА;KOBA
ФЕОФАН;FEOFAN
ДАВИТАЯ;DAVITAIA
ВЕРА;VERA
ДАВЫДОВА;DAVYDOVA
ДАДИАНИ;DADIANI
ДАНИЛЕВСКИЙ;DANILEVSKY
ВАНИОН;VANION
ДАРАСЕЛИ;DARASELI
ДАРАСЕЛИЯ;DARASELIA
ДАТУНАШВИЛИ;DATUNASHVILI
РАФАЭЛ;RAFIEL
ДВАЛИ;DVALI
СЕИД;SEIT
ДЕВДАРИАНИ;DEVDARIANI
ДЕКАНОСИДЗЕ;DEKANOSIDZE
ДЕМЕТРАДЗЕ;DEMETRADZE
ДЖАБАДАРИ;DZHABADARI
ГАБРИЭЛ;GABRIEL
ДЖАБУШАНУРИ;JABUSHANURI
ДЖАВАХИШВИЛИ;JAVAKHISHVILI
ДЖАМБАКУРИАН-ОРБЕЛИАНИ;ORBELIANI
МОИСЕЙ;MOSE
ДЖАНАШВИЛИ;JANASHVILI
ДЖАНАШИА;JANASHIA
ДЖАНДЖГАВА;JANJGAVA
ДЖАНЕЛИДЗЕ;JANELIDZE
АЛЕКСАНДРА;ALEXANDRA
ДЖАПАРИДЗЕ;JAPARIDZE
КЕТО;KETO
ДЖАПАРИДЗЕ;JAFARIDZE
МЕДЕЯ;MEDEA
СЕРГЕЙ;SERGEI
УЧА;UCHA
ГАЙОЗ;GAIOZ
ДЖЕДЖЕЛАВА;JEJELAVA
ДЖЕДЖЕЛАВА;DZHEDZHELAVA
ДЖИБЛАДЗЕ;JIBLADZE
ДЖОДЖУА;JOJUA
ДЖОРБЕНАДЗЕ;JORBENADZE
ВИССАРИОН;BESARION
ДЖУГАШВИЛИ;JUGHASHVILI
ЕКАТЕРИНА;KEKE
ДЖУГАШВИЛИ;GELADZE
МЕДЕЯ;MEDEYA
ДЖУГЕЛИ;JUGELI
ДЗОЦЕНИДЗЕ;DZOTSENIDZE
НИЯЗИ;NIJASBEI
ДЗЯПШИПА;DSJAPSCHIPA
ХОСЕ;JOSE
ДИАС;DIAZ
ДИДЕБУЛИДЗЕ;DIDEBULIDZE
ОДИССЕЙ;ODYSSEAS
ДИМИТРИАДИ;DIMITRIADIS
ЕЛЕНА;HELENE
ДОЛГОРУКАЯ;DOLGORUKI
ДОЛИДЗЕ;DOLIDZE
СЕМЁН;SIKO
АЛЕКСАНДР;ALEXANDRE
ДОРОХОВ;DOROKHOV
ГУРАМ;GURAM
ДОЧАНАШВИЛИ;DOCHANASHVILI
ДУДУЧАВА;DUDUCHAVA
МАМИА;MAMIA
НИНА;NINA
ДУМБАДЗЕ;DUMBADZE
СЕРГЕЙ;SERGI
ДУРМИШИДЗЕ;DURMISHIDZE
МАКАР;MAKAR
ЕКМАЛЯН;EKMALYAN
АЛЕКСАНДР;ALEKSANDR
ЕРИЦЯН;ERITSYAN
ДМИТРИЙ;DMITRI
ЕРМАКОВ;YERMAKOV
ЖВАНИЯ;ZHVANIA
ЖГЕНТИ;ZHGHENTI
АНДРЕЙ;ANDREI
ЖОРДАНИЯ;ZORDANIA
ЖОРЖОЛИАНИ;ZHORZHOLIANI
КИРИАК;KIRIAK
ЗАВРИЕВ;ZAVRIEV
ФИЛИПП;PHILIPP
ЗАЙЦЕВ;ZAITZEV
ЗАКАРЕЙШВИЛИ;ZAKAREISHVILI
ЗАКАРИАДЗЕ;ZAQARIADZE
СЕРГО;SERGO
ЗАКАРИАДЗЕ;ZAKARIADZE
ИЛЬЯ;ILYA
ЗАНКОВСКИЙ;ZANKOVSKY
КИРИЛЛ;KYRIL
ЗДАНЕВИЧ;ZDANEVICH
ЗЕЙДЛИЦ;SEIDLITZ
ВАНО;VANO
ЗОДЕЛАВА;ZODELAVA
СТЕПАН;STEPAN
ЗОРЬЯН;ZORIAN
АВЛИПИЙ;AVLIPI
ЗУРАБАШВИЛИ;ZURABASHVILI
ИМЕДАШВИЛИ;IMEDASHVILI
ИНАНИШВИЛИ;INANISHVILI
АЛЕКСЕЙ;ALEXI
ИНАУРИ;INAURI
ИНАШВИЛИ;INASHVILI
ИНГОРОКВА;INGOROKVA
ДЖАБА;JABA
ИОСЕЛИАНИ;IOSELIANI
ЯРОСЛАВ;YAROSLAV
ИОССЕЛИАНИ;IOSSELIANI
ИБРАГИМ;IBRAHIM
ИСФАХАНЛЫ;ISFAHANLI
ЛИКА;LIKA
КАВЖАРАДЗЕ;KAVZHARADZE
КАВЛАШВИЛИ;KAVLASHVILI
КАВСАДЗЕ;KAVSADZE
КАВТАРАДЗЕ;KAVTARADZE
КАЗБЕГИ;KAZBEGI
КАКАБАДЗЕ;KAKABADZE
ПОЛИКАРП;POLIKARPE
САРГИС;SARGIS
СИЛОВАН;SILOVAN
ТЕЙМУРАЗ;TEIMURAZ
КАКУЛИЯ;KAKULIA
ЭТЕР;ETER
КАРЛО;KARLO
КАЛАДЗЕ;KALADZE
АННА;ANA
КАЛАНДАДЗЕ;KALANDADZE
ЗАУР;ZAUR
КАЛОЕВ;KALOYEV
АНАТОЛИЙ;ANATOLY
КАЛЬГИН;KALGIN
КАНДАРЕЛИ;KANDARELI
КАНДИНАШВИЛИ;KANDINASHVILI
ПИРУЗ;PIRUZ
КАНТЕЛАДЗЕ;KANTELADZE
ГИЯ;GIA
КАНЧЕЛИ;KANCHELI
ХРИСТОФОР;KRISTAPOR
КАРА-МУРЗА;KARA-MURZA
КОХТА;KOKHTA
КАРАЛАШВИЛИ;KARALASHVILI
КАРАШВИЛИ;KARASHVILI
МАРИЯ;MARY
КАРБЕЛАШВИЛИ;KARBELASHVILI
КАРСЕЛАДЗЕ;KARSELADZE
КАРТОЗИЯ;KARTOZIA
КАУХЧИШВИЛИ;KAUKHCHISHVILI
КАХИАНИ;KAKHIANI
ДЖАНСУГ;JANSUG
КАХИДЗЕ;KAKHIDZE
КАЧАРАВА;KACHARAVA
ТАРАСИЙ;TARASI
КВАРАЦХЕЛИЯ;KVARATSKHELIA
ЗИНАИДА;ZINAIDA
КВЕРЕНЧХИЛАДЗЕ;KVERENCHKHILADZE
БИДЗИНА;BIDZINA
КВЕРНАДЗЕ;KVERNADZE
КОРНЕЛИЙ;KORNELI
КЕКЕЛИДЗЕ;KEKELIDZE
ЛЮБОВЬ;LIUBOV
КЕМУЛАРИА-НАТАДЗЕ;KEMULARIA-NATHADZE
РУСУДАН;RUSUDAN
КЕНИЯ;KENIA
АРЧИЛ;ARCHIL
КЕРЕСЕЛИДЗЕ;KERESELIDZE
КЕТЕВАН;KETEVAN
КЕЦХОВЕЛИ;KETSKHOVELI
НИКОЛАЙ;NIKO
КЕЧАКМАДЗЕ;KECHAKMADZE
ПЛАТОН;PLATON
КЕШЕЛАВА;KESHELAVA
ЛЕО;LEO
КИАЧЕЛИ;KIACHELI
АНЗОР;ANZOR
КИКНАДЗЕ;KIKNADZE
ГЕРОНТИЙ;GERONTI
КИКОДЗЕ;K`IK`OZE
КИЛАДЗЕ;KILADZE
НИКА;NIKA
РОЛАН;ROLAN
КИПИАНИ;KIPIANI
ЭДИШЕР;EDISHER
КИПШИДЗЕ;KIPSHIDZE
ЭРОСИ;EROSI
КИЦМАРИШВИЛИ;KITSMARISHVILI
КЛДИАШВИЛИ;KLDIASHVILI
ЛЕВ;LEV
КЛЕМЕНТЬЕВ;KLEMENTYEV
ИОСИФ;SOS
КЛИДЖЯН;SOSYAN
КЛИМОВ;KLIMOV
АНДРЕЙ;ANDRO
КОБАЛАДЗЕ;KOBALADZE
ЕРМОЛАЙ;YEMOLAI
КОБЕРИДЗЕ;KOBERIDZE
ШАЛОМ;SHALOM
КОБОШВИЛИ;KOBOSHVILI
СЕРГЕЙ;SERGO
КОБУЛАДЗЕ;KOBULADZE
КОБЯКОВ;KOBYAKOV
КОЛЮБАКИН;KOLYUBAKIN
КОПАЛЕЙШВИЛИ;KOPALEISHVILI
КОРКИЯ;KORKIA
РОДИОН;RODION
ВАХУШТИ;VAKHUSHTI
КОТЕТИШВИЛИ;KOTETISHVILI
КУЛЕБЯКИН;KULEBYAKIN
ПАВЕЛ;PAVEL
КУЛЬБЕРГ;KULBERG
КУПРАДЗЕ;KUPRADZE
КУТАТЕЛАДЗЕ;KUTATELADZE
КУТАТЕЛИ;KUTATELIDZE
КУТИВАДЗЕ;KUTIVADZE
КУЧИШВИЛИ;KUCHISHVILI
ЛАГИДЗЕ;LAGIDZE
ЛАГУНОВ;LAGUNOV
СЕИДИШВИЛИ;SEIDISHVILI
ЛАЗАРЕВ;LAZAREV
НЕСТОР;NESTOR
ЛАКОБА;LAKOBA
САРИЯ;SARIYA
ЛАЛИ;LALI
ЛАСХИШВИЛИ;LASKHISHVILI
МУРМАН;MURMAN
ЛЕБАНИДЗЕ;LEBANIDZE
ДЖУМБЕР;JUMBER
ЛЕЖАВА;LEJAVA
АРТУР;ARTHUR
ЛЕЙСТ;LEIST
ЛЕОНИДЗЕ;LEONIDZE
ЛЕТНИЙ;LETNIY
ЛАМИНАДЗЕ;LOMINADZE
ГРИГОРИЙ;GIGA
ЛОРДКИПАНИДЗЕ;LORTKIPANIDZE
ЛОРДКИПАНИДЗЕ;LORDKIPANIDZE
МАРИАМ;MARIAN
НИКО;NIKO
ЛОХВИЦКИЙ;LOKHVITSKY
ЛУКАШИН;LUKASHIN
ОЛЬГА;OLGA
ЛЮБАТОВИЧ;LYUBATOVICH
МАГАЛАШВИЛИ;MAGALASHVILI
МАГОМЕТОВ;MAGOMETOV
МАЙОРОВ;MAYOROV
МАЙСУРЯН;MAYSURYAN
МАЙСУРЯН;MAISURYAN
МАНАГАДЗЕ;MANAGADZ
МАНАГАДЗЕ;MANAGADZE
ЛЕВОН;LEVON
МАНВЕЛЯН;MANVELYAN
ИДА;IDA
МАНДЕНОВА;MANDENOVA
МАНДЖГАЛАДЗЕ;MANJGALADZE
ГИВИ;GIWI
МАРГВЕЛАШВИЛИ;MARGWELASCHWILI
ТИТО;TITE
МАРГИАНИ;MARGIANI
ДАДИАНИ;MINGRELIA
МАРКОВ;MARKOV
МАРУАШВИЛИ;MARUASHVILI
ЛОРИК;LORIK
МАРШАНИЯ;MARSHANIYA
МАХАРАДЗЕ;MAKHARADZE
ФИЛИПП;FILIPP
ИВАНЕ;IVANE
МАЧАБЕЛИ;MACHABELI
МАЧАБЕЛИ;MIKHEIL
МИХАИЛ;MACHABELI
АЛЕКСЕЙ;ALEKSANDRE
МАЧАВАРИАНИ;MACHAVARIANI
МУХРАН;MUKHRAN
МГАЛОБЛИШВИЛИ;MGALOBLISHVILI
СОПРОМ;SOPROM
КАРАМАН;KARAMAN
МГЕЛАДЗЕ;MGELADZE
МДИВАНИ;MDIVANI
БУДУ;POLIKARP
МЕГВИНЕТУХУЦЕСИ;MEGVINETUKHUTSESI
МЕРАБ;MERAB
МЕГРЕЛАДЗЕ;MEGRELADZE
АКАКИЙ;AK'AK'I
МЕЙПАРИАНИ;MEIPARIANI
ТАМАЗ;TAMAZ
МЕЛИАВА;MELIAVA
МЕЛИКИШВИЛИ;MELIKISHVILI
МЕЛИКОВ;MELIKISHVILI
МЕЛИКСЕТ-БЕК;MELIKSET-BEK
МЕСХИ;MESKHI
НАНА;NANA
МЕСХИДЗЕ;MESKHIDZE
МЕТРЕВЕЛИ;METREVELI
СЛАВА;SLAVA
МЕХТИКУЛИ-ХАН;MEHDIGULU
ВАФА;VAFA
АЛОИЗИЙ;ALOIZY
МИЗАНДАРИ;MIZANDARY
МИКАБЕРИДЗЕ;MIKABERIDZE
РУСЛАН;RUSLAN
МИКЕЛАДЗЕ;MIKELADZE
АНАТОЛИЙ;ANATOLI
МИЛЬЧЕНКО;MILCHENKO
МИНАЕВ;MINAEV
МИНАШВИЛИ;MINASHVILI
ВААН;VAHAN
МИРАКЯН;MIRAKYAN
ВАЗЕХ;VAZEH
МАТЭ;MATE
МИРЦХУЛАВА;MIRTSKHULAVA
ИЛЬЯ;ILO
МОСАШВИЛИ;MOSASHVILI
МОСЕШВИЛИ;MOSESHVILI
ЛИГУРИ;LIGURI
МОСУЛИШВИЛИ;MOSULISHVILI
МРЕВЛИШВИЛИ;MREVLISHVILI
МАКВАЛА;MAKVALA
АПОЛЛОС;APOLLO
МУСИН-ПУШКИН;MUSSIN-PUSHKIN
МУСХЕЛИШВИЛИ;MUSKHELISHVILI
МУХАДЗЕ;MUKHADZE
МХЕИДЗЕ;MKHEIDZE
МЧЕДЛИДЗЕ;MCHEDLIDZE
МЧЕДЛИШВИЛИ;MCHEDLISHVILI
МШВЕЛИДЗЕ;MSHVELIDZE
МЮФКЕ;MUFKE
ФОМА;TOVMAS
НАЗАРБЕКОВ;NAZARBEKIAN
НАКАШИДЗЕ;NAKASHIDZE
МЕРИ;MARI
НИНО;NINO
НАМГАЛАУРИ;NAMGALAURI
СУЛХАН;SULCHAN
НАСИДЗЕ;NASIDZE
НАТАДЗЕ;NATADZE
ОМАР;OMAR
НЕМАНЗАДЕ;NEMANZADEH
ДЖИБИЛО;DZHIBILO
НИЖАРАДЗЕ;NIZHARADZE
БОРИС;BORIS
НИКИТИН;NIKITIN
ГЕОРГИЙ;GEORGE
НИКОЛАДЗЕ;NIKOLADZE
НИНУА;NINUA
НИШНИАНИДЗЕ;NISHNIANIDZE
НОВИКОВ;NOVIKOV
НОДИЯ;NODIA
НОНЕШВИЛИ;NONESHVILI
НОРАКИДЗЕ;GIGA
ЛЕВАНОВИЧ;NORAKIDZE
НУЦУБИДЗЕ;NUTSUBIDZE
МКРТУМ;MKRTOUM
ОВНАТАНЯН;HOVNATANYAN
ОВНАТАН;HOVNATAN
ОВНАТАНЯН;HOVNATANIAN
САША;SASHA
ОГАНЕЗАШВИЛИ;OGANEZASHVILI
ОЗИМИН;OZIMIN
ОПОЧИНИН;OPOCHININ
ОРБЕЛИАНИ;ORBELIANI
МИНАДОРА;MINDORA
ОРДЖОНИКИДЗЕ-ТОРОШЕЛИДЗЕ;ORJONIKIDZE
ОТХМЕЗУРИ;OTKHMEZURI
ПАВЕЛ;PAUL
АЛЕППСКИЙ;ALEPPO
ПАЙЧАДЗЕ;PAICHADZE
ПАЛАВАНДИШВИЛИ;PALAVANDISHVILI
ЗАХАРИЙ;ZACHARIA
ПАЛИАШВИЛИ;PALIASHVILI
ПАНДЖИКИДЗЕ;PANJIKIDZE
ПАНЮКОВ;PANYUKOV
МИХАИЛ;MICHAEL
ПАПАДЖАНОВ;PAPADJANIAN
ПАПИВИН;PAPIVIN
ПАТАРИДЗЕ;PATARADZE
ОТАРИ;OTAR
ПАЦАЦИЯ;PATSATSIA
ПИПИНАШВИЛИ;PIPINASHVILI
ПИРАЕВ;PIRAYEV
ПИРОСМАНИ;PIROSMANI
ПИРЦХАЛАВА;PIRTSKHALAVA
САМСОН;SAMSON
ПИРЦХАЛАВА;P`IRC`XALAVA
ПОТТО;POTTO
ПОЦХВЕРАШВИЛИ;POTSKHVERASHVILI
ПРИБИЛЬ;PRIBIL'
АЛЕКСАНДР;ALEXANDR
ПРОХАНОВ;PROKHANOV
ТАРИЭЛ;TARIEL
ПУТКАРАДЗЕ;PUTKARADZE
ПХАКАДЗЕ;PKHAKADZE
АЛЕКСЕЙ;ALEKSEI
РАДАКОВ;RADAKOV
РАДИАНИ;RADIANI
РАЗИКАШВИЛИ;RAZIKASHVILI
АНДРЕЙ;ANDREA
РАЗМАДЗЕ;RAZMADZE
ИСИДОР;ISIDORE
РАМИШВИЛИ;RAMISHVILI
НИНА;NINO
РАТИЕВ;RATIEV
РЕХВИАШВИЛИ;REKHVIASHVILI
РОИНАШВИЛИ;ROINASHVILI
РОЙТБАК;ROITBAK
РОНДЕЛИ;RONDELI
РУБАШВИЛИ;RUBASHVILI
РУРУА;RURUA
НИКОЛАЙ;NIKOLAJ
РУХАДЗЕ;RUCHADZE
РЧЕУЛИШВИЛИ;RCHEULISHVILI
РЯЗАНОВ;RYAZANOV
САГАРАДЗЕ;SAGARADZE
КАЛИСТРАТ;KALISTRAT
САДЖАЯ;SADZAJA
САКАНДЕЛИДЗЕ;SAKANDELIDZE
САРАДЖИШВИЛИ;SARAJISHVILI
СВАНИДЗЕ;SVANADZE
ЕКАТЕРИНА;EKATERINA
СВАНИДЗЕ;SVANIDZE
СВЕТИЛКО;SVETILKO
КУЗЬМА;KUZMA
СЕМЕНЧЕНКО;SEMENCHENKO
СИГУА;SIGUA
СИДАМОН-ЭРИСТАВИ;SIDAMON-ERISTAVI
КАРАПЕТ;KARAPET
СИМОНЯН;SIMONYAN
СИПЯГИН;SIPYAGIN
